FH,SQ,Q,FX,SIN_HOUR,COS_HOUR
4.0,0.0,0.0,5.0,0.8878852,0.8878852
4.0,0.0,0.0,5.0,0.9790841,0.9790841
2.0,0.0,0.0,3.0,0.99766874,0.99766874
3.0,0.0,14.0,4.0,0.9422609,0.9422609
3.0,0.0,42.0,4.0,0.8169699,0.8169699
4.0,0.3,57.0,5.0,0.63108796,0.63108796
4.0,0.0,55.0,6.0,0.39840108,0.39840108
4.0,0.0,86.0,5.0,0.13616665,0.13616665
4.0,0.0,114.0,5.0,-0.13616665,-0.13616665
3.0,0.1,124.0,4.0,-0.39840108,-0.39840108
3.0,0.0,90.0,4.0,-0.63108796,-0.63108796
2.0,0.0,56.0,3.0,-0.8169699,-0.8169699
2.0,0.7,67.0,4.0,-0.9422609,-0.9422609
2.0,0.2,19.0,3.0,-0.99766874,-0.99766874
2.0,0.2,5.0,3.0,-0.9790841,-0.9790841
2.0,0.0,0.0,3.0,-0.8878852,-0.8878852
1.0,0.0,0.0,2.0,-0.730836,-0.730836
2.0,0.0,0.0,3.0,-0.51958394,-0.51958394
2.0,0.0,0.0,3.0,-0.26979676,-0.26979676
3.0,0.0,0.0,4.0,-2.4492937e-16,-2.4492937e-16
8.0,0.0,0.0,10.0,0.26979676,0.26979676
7.0,0.0,0.0,9.0,0.51958394,0.51958394
7.0,0.0,0.0,10.0,0.730836,0.730836
8.0,0.0,0.0,11.0,0.8878852,0.8878852
9.0,0.0,0.0,11.0,0.9790841,0.9790841
8.0,0.0,1.0,10.0,0.99766874,0.99766874
5.0,0.0,10.0,10.0,0.9422609,0.9422609
3.0,0.0,30.0,6.0,0.8169699,0.8169699
2.0,0.0,44.0,5.0,0.63108796,0.63108796
3.0,0.0,55.0,6.0,0.39840108,0.39840108
4.0,0.0,74.0,6.0,0.13616665,0.13616665
5.0,0.0,61.0,7.0,-0.13616665,-0.13616665
5.0,0.0,65.0,7.0,-0.39840108,-0.39840108
6.0,0.0,49.0,9.0,-0.63108796,-0.63108796
7.0,0.0,44.0,9.0,-0.8169699,-0.8169699
8.0,0.0,48.0,11.0,-0.9422609,-0.9422609
9.0,0.5,32.0,12.0,-0.99766874,-0.99766874
9.0,0.3,12.0,11.0,-0.9790841,-0.9790841
8.0,0.0,0.0,10.0,-0.8878852,-0.8878852
8.0,0.0,0.0,10.0,-0.730836,-0.730836
8.0,0.0,0.0,9.0,-0.51958394,-0.51958394
9.0,0.0,0.0,11.0,-0.26979676,-0.26979676
9.0,0.0,0.0,12.0,-2.4492937e-16,-2.4492937e-16
10.0,0.0,0.0,12.0,0.26979676,0.26979676
10.0,0.0,0.0,12.0,0.51958394,0.51958394
10.0,0.0,0.0,12.0,0.730836,0.730836
10.0,0.0,0.0,12.0,0.8878852,0.8878852
10.0,0.0,0.0,12.0,0.9790841,0.9790841
11.0,0.0,0.0,13.0,0.99766874,0.99766874
10.0,0.0,4.0,12.0,0.9422609,0.9422609
10.0,0.0,11.0,13.0,0.8169699,0.8169699
9.0,0.0,11.0,11.0,0.63108796,0.63108796
9.0,0.0,27.0,11.0,0.39840108,0.39840108
9.0,0.0,30.0,12.0,0.13616665,0.13616665
8.0,0.0,38.0,11.0,-0.13616665,-0.13616665
7.0,0.0,48.0,9.0,-0.39840108,-0.39840108
6.0,0.0,67.0,9.0,-0.63108796,-0.63108796
7.0,0.0,50.0,9.0,-0.8169699,-0.8169699
6.0,0.0,32.0,8.0,-0.9422609,-0.9422609
6.0,0.0,16.0,8.0,-0.99766874,-0.99766874
5.0,0.0,3.0,7.0,-0.9790841,-0.9790841
4.0,0.0,0.0,6.0,-0.8878852,-0.8878852
3.0,0.0,0.0,5.0,-0.730836,-0.730836
3.0,0.0,0.0,4.0,-0.51958394,-0.51958394
4.0,0.0,0.0,6.0,-0.26979676,-0.26979676
